package,in_degree,betweenness,eigenvector,kcore,predicted_risk
ibis-framework,1,0.02772080262628376,0.06411849759137418,10,0.042329189740978074
homeassistant,0,0.03775178055441006,0.06454754757962639,10,0.042259519604875395
tomli,8,0.0010721100421043869,0.025980560518004434,7,0.04225516999312155
litestar,2,0.02127565152274971,0.06027507794952033,10,0.0421174329215673
pytz,8,0.0013334634946099782,0.025470523371099268,8,0.04211712698539118
anyio,8,0.0008881487485761938,0.024972729384540218,8,0.04173725953032779
google-cloud-storage,6,0.0011060282799380038,0.03699570101997719,6,0.03967668479093031
colorama,7,0.0016178309883980576,0.027630799155678003,7,0.03941519480561706
bcrypt,8,0.001577244270181175,0.0186033485306122,5,0.03911222157862192
regex,6,0.0009301253314143703,0.03521795688715409,6,0.03881513389917664
idna,6,0.002226157696652851,0.03416267253555038,8,0.03879386726878843
