package,score,betweenness,granger_out,prop_out,avg_lag_months,indegree,persistence_months
typing_extensions,0.00625,0.0,0,0,,4,0
beautifulsoup4,0.00625,0.0,0,0,,4,0
pytest-asyncio,0.00625,0.0,0,0,,4,0
attrs,0.00625,0.0,0,0,,4,0
aiofiles,0.00625,0.0,0,0,,4,0
furo,0.00625,0.0,0,0,,4,0
accelerate,0.00625,0.0,0,0,,4,0
regex,0.00625,0.0,0,0,,4,0
tokenizers,0.00625,0.0,0,0,,4,0
datasets,0.00625,0.0,0,0,,4,0
einops,0.00625,0.0,0,0,,4,0
markupsafe,0.00625,0.0,0,0,,4,0
xhtml2pdf,0.005185,0.0,0,0,,0,14
azure-identity,0.005143,4.05044646966768e-06,0,0,,3,1
xgrammar,0.004769,2.5499401638589707e-05,0,0,,2,3
opencv-python-headless,0.004711,1.1046672190002763e-06,0,0,,3,0
prometheus_client,0.004688,0.0,0,0,,3,0
dill,0.004688,0.0,0,0,,3,0
opentelemetry-sdk,0.004688,0.0,0,0,,3,0
blinker,0.004688,0.0,0,0,,3,0
towncrier,0.004688,0.0,0,0,,3,0
python-dateutil,0.004688,0.0,0,0,,3,0
torchaudio,0.004688,0.0,0,0,,3,0
cython,0.004688,0.0,0,0,,3,0
sentence-transformers,0.004688,0.0,0,0,,3,0
opentelemetry-exporter-otlp,0.004688,0.0,0,0,,3,0
flake8,0.004688,0.0,0,0,,3,0
uvloop,0.004688,0.0,0,0,,3,0
omegaconf,0.004688,0.0,0,0,,3,0
botocore,0.004688,0.0,0,0,,3,0
setproctitle,0.004688,0.0,0,0,,3,0
triton,0.004688,0.0,0,0,,3,0
mock,0.004688,0.0,0,0,,3,0
pydantic-settings,0.004688,0.0,0,0,,3,0
docker,0.004688,0.0,0,0,,3,0
sphinx-inline-tabs,0.004688,0.0,0,0,,3,0
importlib_metadata,0.004688,0.0,0,0,,3,0
polars,0.004688,0.0,0,0,,3,0
dataclasses-json,0.004688,0.0,0,0,,3,0
langsmith,0.004688,0.0,0,0,,3,0
watchfiles,0.004688,0.0,0,0,,3,0
filetype,0.004688,0.0,0,0,,3,0
langchain-openai,0.004688,0.0,0,0,,3,0
tensorboardx,0.004688,0.0,0,0,,3,0
safetensors,0.004688,0.0,0,0,,3,0
timm,0.004688,0.0,0,0,,3,0
alembic,0.004688,0.0,0,0,,3,0
num2words,0.003414,0.0,0,0,,1,5
rembg,0.003333,0.0,0,0,,0,9
opencv-python,0.003164,1.841112031667127e-06,0,0,,2,0
langgraph,0.003125,0.0,0,0,,2,0
nest-asyncio,0.003125,0.0,0,0,,2,0
blobfile,0.003125,0.0,0,0,,2,0
huey,0.003125,0.0,0,0,,2,0
sphinx-copybutton,0.003125,0.0,0,0,,2,0
backoff,0.003125,0.0,0,0,,2,0
msgspec,0.003125,0.0,0,0,,2,0
pyzmq,0.003125,0.0,0,0,,2,0
toml,0.003125,0.0,0,0,,2,0
sympy,0.003125,0.0,0,0,,2,0
numpydoc,0.003125,0.0,0,0,,2,0
