year,nodes,edges,density,diameter_giant,avg_path_len_giant,avg_clustering,degree_assortativity,components,giant_component_size
2023,31,52,0.11182795698924732,5.0,2.4188034188034186,0.13175534143276077,-0.3029508562503485,5,27
2024,60,177,0.1,5.0,2.49774011299435,0.23744885833121135,-0.08765958487052822,1,60
2025,51,146,0.11450980392156863,4.0,2.3237742830712302,0.26433621536061896,-0.1795779654294698,5,47
