metric,ai_mean,non_ai_mean,p_value,sig
degree,28.296296296296298,3.99870214146658,1.7256657246838185e-16,***
in_degree,3.740740740740741,2.18170019467878,0.013479479310830616,*
betweenness,0.00022158776150685156,4.973300432743844e-06,6.296970090116391e-30,***
pagerank,0.0006902017167411448,0.0006368361801739012,0.2752709955999836,ns
